Item title	|	Feedback_count	|	Price
"Телевізор 43"" Xiaomi Mi TV P1 43 Black"	|	83	|	11 999
"Магніт ""Лапка тигра"""	|	5	|	5
"Телевізор 55"" Xiaomi Mi TV P1 55 Black"	|	65	|	16 499
"Телевізор 65"" Xiaomi Mi TV UHD 4S Smart TV Silver"	|	86	|	24 999
"Телевізор 50"" Xiaomi Mi TV P1 50 Black"	|	16	|	14 999
"Телевізор 43"" Samsung UE43AU7100UXUA Black"	|	16	|	14 599
"Телевізор 32"" Samsung UE32T5300AUXUA Smart TV Black"	|	28	|	9 999
"Телевізор 43"" Samsung UE43AU8000UXUA Black"	|	4	|	18 399
"Телевізор 32"" Xiaomi Mi TV P1 32 Black"	|	27	|	7 999
"Телевізор 32"" LG 32LM637BPLA Black"	|	5	|	9 299
"Телевізор 50"" LG 50UP75006LF Black"	|	3	|	18 499
Телевізор Philips 58PUS8506/12	|	7	|	30 599
Телевізор Philips 43PUS7906/12	|	7	|	17 999
"Телевізор 48"" LG OLED48A16LA Black"	|	залишити відгук	|	37 999
"Телевізор 48"" LG OLED48C14LB Black"	|	залишити відгук	|	44 999
"Телевізор 55"" LG OLED55C14LB Black"	|	залишити відгук	|	54 999
"Телевізор 65"" LG OLED65A16LA Black"	|	залишити відгук	|	64 999
"Телевізор 55"" LG OLED55G16LA Black"	|	залишити відгук	|	65 999
"Телевізор 32"" LG 32LM6370PLA Black"	|	7	|	10 699
"Телевізор 65"" LG OLED65G16LA Black"	|	залишити відгук	|	99 999
"Телевізор Xiaomi Mi TV UHD 4S 50"" International"	|	468	|	13 999
"Телевізор 55"" Samsung QE55Q60AAUXUA Black"	|	6	|	30 999
"Телевізор 55"" LG 55UP75006LF Black"	|	1	|	21 499
Телевізор Philips 65PUS7906/12	|	1	|	32 999
Телевізор Philips 55PUS7906/12	|	залишити відгук	|	25 999
"Телевізор 43"" LG 43UP81006LA Black"	|	3	|	17 999
"Телевізор 43"" Samsung QE43LS03AAUXUA Black"	|	залишити відгук	|	32 999
"Телевізор 50"" Samsung QE50Q60AAUXUA Black"	|	3	|	28 999
	|		|	
